pH,Moisture (%),Bearing Capacity (kN/m²),Soil Type
5.89,13.51,380.38,Sandy
7.17,30.6,442.73,Sandy
6.39,37.66,218.77,Sandy
5.05,14.88,264.34,Silty
8.75,45.42,135.64,Sandy
4.85,27.29,390.52,Loamy
8.82,42.89,163.88,Clay
7.27,17.69,408.85,Silty
6.86,7.2,125.25,Peaty
5.06,28.29,75.11,Loamy
4.56,26.29,162.03,Loamy
7.38,31.18,155.68,Sandy
8.12,49.32,118.26,Loamy
6.64,27.5,91.05,Silty
8.95,47.52,173.53,Loamy
5.3,39.75,208.45,Loamy
7.57,45.63,251.15,Peaty
5.93,44.71,330.62,Loamy
5.05,47.68,215.86,Silty
5.71,5.33,332.82,Loamy
4.89,10.35,287.4,Clay
4.84,25.62,130.61,Loamy
5.57,6.22,234.83,Sandy
5.88,30.32,123.34,Silty
5.61,11.77,243.44,Sandy
7.69,17.12,271.25,Silty
8.46,13.42,171.36,Silty
4.56,38.02,176.89,Clay
7.08,44.24,362.14,Loamy
7.07,48.21,446.27,Silty
5.48,30.88,205.41,Loamy
7.95,48.89,220.96,Loamy
5.08,38.97,341.49,Sandy
7.4,40.19,59.68,Clay
6.44,43.65,129.33,Clay
4.93,34.31,130.87,Silty
6.13,46.28,443.01,Peaty
5.93,33.79,420.87,Sandy
8.34,16.86,227.66,Silty
4.83,40.19,303.21,Peaty
4.87,44.76,315.64,Loamy
8.2,14.82,273.09,Loamy
8.15,23.29,52.06,Clay
7.72,31.56,93.71,Loamy
5.47,44.4,357.02,Silty
7.74,19.2,202.01,Silty
6.59,19.15,61.98,Sandy
8.19,21.8,141.05,Clay
7.8,24.45,314.32,Loamy
5.45,11.56,276.68,Clay
4.63,35.96,410.94,Peaty
6.54,40.25,406.63,Loamy
6.26,22.59,312.28,Silty
6.23,44.77,357.82,Loamy
6.18,23.8,392.87,Peaty
5.63,27.73,224.51,Clay
8.45,12.08,118.44,Clay
6.84,10.45,432.48,Silty
5.03,27.66,410.99,Sandy
8.68,25.88,316.39,Sandy
6.43,47.62,83.27,Sandy
4.67,6.65,303.51,Silty
7.35,6.77,219.22,Silty
4.93,23.73,429.18,Clay
8.24,42.26,330.15,Loamy
7.53,8.27,339.66,Clay
8.63,5.8,382.51,Silty
7.2,40.27,66.52,Silty
4.64,21.48,129.95,Peaty
6.15,27.66,279.19,Clay
8.73,21.26,213.17,Silty
8.25,23.05,230.79,Sandy
4.78,10.08,359.26,Clay
7.07,23.74,130.29,Silty
8.56,36.6,107.14,Loamy
6.55,34.41,405.43,Silty
7.77,28.47,211.94,Loamy
7.46,30.7,132.27,Sandy
7.11,14.51,197.36,Silty
7.88,32.4,182.36,Peaty
5.4,10.95,102.54,Silty
5.77,37.48,254.13,Clay
7.39,17.71,394.91,Sandy
5.3,6.73,401.6,Silty
6.73,19.25,415.62,Sandy
6.48,43.33,421.64,Peaty
8.58,30.6,75.75,Sandy
6.09,38.69,321.78,Clay
6.53,6.78,122.96,Silty
8.9,48.1,149.04,Loamy
8.3,31.87,170.29,Clay
7.16,34.33,206.97,Loamy
7.6,41.15,386.63,Loamy
8.44,33.13,411.8,Silty
7.77,17.05,145.13,Peaty
7.22,36.36,113.14,Loamy
7.58,45.67,403.68,Silty
4.6,25.99,271.02,Loamy
7.97,8.37,426.71,Peaty
5.75,13.56,404.61,Loamy
6.5,41.14,416.47,Silty
5.67,38.54,298.61,Silty
4.7,42.77,306.49,Silty
6.21,8.94,325.82,Sandy
8.89,19.04,385.03,Silty
6.07,28.42,346.63,Silty
7.56,10.64,185.44,Sandy
4.72,22.87,243.01,Loamy
7.03,14.28,128.2,Sandy
4.59,46.87,91.71,Sandy
5.63,21.33,55.43,Loamy
8.35,26.46,268.97,Peaty
8.86,48.76,422.95,Sandy
8.65,46.05,342.19,Peaty
5.89,29.53,370.15,Loamy
6.16,8.13,125.16,Sandy
6.11,37.62,211.36,Peaty
8.86,36.38,129.2,Loamy
5.28,31.11,162.19,Peaty
8.15,32.34,227.7,Peaty
5.22,21.95,397.94,Peaty
8.61,26.86,377.79,Loamy
4.73,7.99,234.34,Peaty
7.16,27.88,305.18,Peaty
7.32,45.6,200.46,Silty
7.26,40.54,406.94,Clay
4.53,34.1,444.35,Peaty
7.48,35.93,349.36,Silty
4.69,39.05,421.17,Sandy
8.74,29.61,77.48,Sandy
8.93,44.07,205.28,Silty
8.5,48.59,261.66,Sandy
7.43,46.74,295.12,Loamy
7.99,35.88,386.79,Sandy
8.04,13.95,296.93,Clay
6.08,30.82,280.61,Peaty
6.25,38.57,90.62,Loamy
5.76,38.37,159.09,Sandy
4.88,9.56,209.05,Silty
6.76,47.96,266.44,Sandy
5.76,18.55,117.76,Peaty
8.21,19.65,336.47,Silty
8.33,9.81,300.41,Silty
6.12,41.45,147.1,Sandy
8.21,22.45,300.3,Sandy
7.77,47.27,317.74,Clay
7.65,10.65,379.5,Silty
8.61,16.79,201.87,Silty
6.9,27.12,210.76,Clay
5.81,34.82,419.34,Silty
5.48,26.51,263.31,Loamy
8.49,23.71,319.81,Sandy
7.92,38.69,143.95,Clay
6.24,36.31,132.3,Sandy
4.77,6.38,101.36,Peaty
8.8,31.09,79.22,Silty
7.89,46.18,320.65,Peaty
8.78,36.4,305.36,Clay
5.07,27.11,348.0,Sandy
5.54,47.42,88.94,Clay
7.57,23.45,160.52,Silty
5.78,27.44,143.03,Sandy
5.63,29.06,91.11,Peaty
5.93,10.8,80.24,Clay
5.62,17.89,444.45,Clay
6.48,26.9,382.23,Loamy
8.55,31.0,191.99,Clay
8.59,34.15,256.26,Loamy
6.64,28.9,184.64,Clay
5.11,37.3,74.65,Loamy
7.75,15.04,136.46,Silty
7.25,13.78,271.84,Loamy
5.47,9.56,390.73,Sandy
5.69,34.79,188.72,Loamy
7.87,13.14,210.24,Loamy
5.73,28.72,84.0,Silty
7.26,27.5,203.99,Sandy
5.12,8.73,107.41,Loamy
8.01,18.21,164.4,Clay
6.82,14.75,87.58,Peaty
4.77,41.85,408.55,Sandy
8.49,31.03,71.54,Clay
5.31,25.56,250.68,Peaty
6.25,46.51,209.63,Peaty
7.61,23.04,169.56,Loamy
7.91,32.98,238.7,Sandy
7.18,32.93,390.17,Peaty
5.51,38.0,191.52,Loamy
4.65,24.77,426.44,Sandy
7.63,26.92,290.26,Loamy
6.91,47.68,290.16,Silty
6.47,9.48,421.55,Clay
7.87,30.99,360.47,Silty
6.04,29.95,283.75,Clay
5.33,21.03,133.31,Peaty
6.6,49.65,430.78,Loamy
6.33,21.1,103.23,Silty
6.11,20.21,378.88,Sandy
8.02,20.75,303.39,Sandy
8.25,8.23,299.01,Sandy
6.13,33.32,446.91,Clay
6.32,16.65,75.02,Loamy
5.4,47.87,347.4,Sandy
4.51,22.7,422.04,Loamy
5.4,27.66,52.92,Loamy
7.79,49.45,445.55,Sandy
7.21,9.76,325.39,Clay
5.75,45.56,235.66,Silty
8.96,28.06,196.02,Clay
4.74,31.22,346.56,Clay
4.6,34.87,339.55,Loamy
4.93,9.34,155.96,Clay
8.56,27.71,230.34,Silty
8.62,9.49,334.27,Clay
8.3,30.24,73.18,Silty
8.76,5.76,270.39,Sandy
5.54,38.16,377.03,Sandy
8.42,28.13,179.0,Silty
5.24,22.31,189.99,Loamy
7.5,48.06,278.5,Sandy
8.95,47.11,243.29,Peaty
4.89,25.29,307.85,Clay
8.29,22.05,225.41,Silty
8.64,7.27,448.82,Loamy
7.21,44.71,181.98,Peaty
6.47,26.06,223.29,Loamy
8.12,23.21,300.33,Sandy
8.96,21.18,118.1,Sandy
6.51,22.53,214.63,Clay
8.03,23.3,359.69,Peaty
4.98,31.48,87.92,Sandy
5.6,42.48,313.49,Sandy
6.45,42.84,289.95,Loamy
8.58,35.46,195.91,Loamy
7.86,39.75,349.19,Clay
8.04,28.76,236.08,Peaty
4.8,34.39,73.05,Sandy
6.03,43.3,207.44,Clay
6.33,12.14,405.12,Clay
5.71,22.79,234.3,Clay
7.43,31.33,364.01,Silty
8.27,46.26,326.27,Peaty
7.79,13.37,83.25,Loamy
4.92,40.75,329.85,Loamy
6.8,45.98,403.59,Silty
5.74,8.81,281.71,Loamy
6.18,6.44,382.27,Loamy
7.51,25.65,177.14,Silty
6.34,18.44,272.68,Peaty
8.39,8.75,190.04,Sandy
4.51,38.76,357.17,Silty
6.58,10.27,248.49,Loamy
6.39,25.51,107.35,Sandy
5.85,49.28,346.26,Loamy
8.64,39.94,166.96,Sandy
6.21,39.18,449.31,Silty
4.82,43.4,273.86,Clay
8.18,42.13,139.25,Silty
7.04,32.6,182.07,Silty
8.31,18.37,377.05,Clay
5.66,6.25,403.93,Loamy
5.36,31.01,113.65,Loamy
8.04,19.21,320.25,Clay
6.3,5.58,87.23,Sandy
4.74,19.53,399.11,Clay
6.44,24.74,323.13,Clay
5.44,45.15,195.92,Loamy
5.33,42.0,288.35,Clay
5.27,6.92,192.1,Peaty
5.43,35.71,311.52,Loamy
5.18,35.72,217.95,Peaty
8.52,38.61,185.88,Sandy
6.41,17.04,433.24,Silty
8.66,33.04,131.9,Loamy
6.94,37.77,140.47,Peaty
5.2,31.97,283.12,Loamy
4.96,14.13,402.36,Sandy
4.61,12.29,153.05,Silty
4.88,47.38,104.56,Peaty
7.97,32.31,177.15,Clay
7.85,14.69,365.72,Silty
8.8,16.89,331.62,Sandy
8.01,29.97,184.83,Peaty
5.26,38.23,420.34,Sandy
8.0,47.7,439.28,Clay
5.29,16.41,291.63,Clay
7.62,25.19,177.25,Peaty
7.24,46.12,341.15,Clay
9.0,8.28,358.58,Sandy
7.34,26.28,308.46,Clay
7.24,31.63,389.95,Clay
6.38,17.5,321.03,Sandy
6.57,31.53,102.89,Clay
8.13,28.47,418.45,Sandy
6.06,13.16,123.25,Peaty
6.66,26.34,438.82,Peaty
5.13,31.57,226.63,Clay
8.29,24.68,351.0,Clay
7.08,5.23,264.96,Peaty
6.01,39.02,279.66,Peaty
7.26,45.87,58.75,Clay
6.85,49.8,58.77,Peaty
7.74,33.57,307.03,Silty
5.55,30.91,136.59,Peaty
4.62,15.62,224.82,Sandy
6.59,44.81,58.65,Peaty
4.71,28.07,417.95,Peaty
7.48,7.21,62.49,Loamy
7.58,44.83,406.89,Loamy
8.78,49.04,310.12,Sandy
8.94,6.27,241.46,Clay
5.37,43.13,235.12,Silty
5.99,20.01,287.91,Clay
4.83,43.67,50.92,Silty
5.22,21.3,287.02,Loamy
6.67,36.2,323.38,Loamy
6.89,37.67,415.51,Clay
7.45,31.47,189.63,Peaty
6.54,44.46,300.49,Silty
8.58,32.16,134.73,Clay
5.0,39.76,278.54,Loamy
6.84,48.08,123.98,Clay
4.63,8.31,393.47,Clay
5.64,35.57,170.09,Peaty
6.59,49.08,326.01,Sandy
7.53,20.91,347.54,Clay
6.87,32.77,129.25,Sandy
5.04,16.7,322.41,Clay
8.48,31.72,316.45,Sandy
8.71,21.88,348.54,Loamy
7.01,38.65,296.65,Peaty
5.42,21.44,434.4,Loamy
4.88,47.73,389.61,Peaty
8.09,22.39,416.16,Sandy
7.25,42.18,307.79,Peaty
7.26,8.04,189.12,Sandy
4.65,13.77,230.25,Silty
8.52,13.91,257.94,Silty
8.09,20.17,105.37,Loamy
8.89,32.82,335.67,Clay
4.54,27.38,243.57,Clay
7.14,13.48,440.31,Clay
6.21,21.98,337.97,Loamy
8.36,6.1,213.99,Clay
8.51,48.45,237.59,Clay
5.25,40.24,385.53,Peaty
5.64,12.82,271.61,Clay
4.71,31.36,77.35,Sandy
8.6,9.87,375.14,Sandy
6.96,6.93,133.57,Silty
5.78,21.82,191.57,Sandy
6.55,14.57,152.22,Clay
4.55,36.64,418.97,Silty
4.87,12.49,364.79,Silty
6.68,15.05,261.67,Loamy
5.56,31.5,184.23,Loamy
7.82,42.53,103.75,Peaty
4.55,38.81,323.25,Silty
6.93,39.06,280.33,Silty
5.24,11.0,201.35,Silty
7.99,26.18,216.27,Silty
7.82,40.43,198.53,Silty
6.06,46.44,190.5,Silty
5.02,33.24,384.52,Sandy
6.83,49.2,116.09,Loamy
4.84,44.78,336.8,Sandy
8.05,27.15,151.44,Silty
4.86,44.12,274.96,Peaty
5.17,32.38,222.26,Silty
8.76,36.31,273.83,Sandy
7.66,22.55,339.19,Peaty
6.96,38.64,147.19,Peaty
7.39,23.95,371.38,Sandy
7.12,32.45,308.76,Silty
8.35,11.34,234.93,Sandy
5.64,30.47,387.33,Silty
5.39,10.58,216.99,Sandy
5.52,16.24,448.46,Clay
7.51,41.09,448.92,Clay
6.57,37.93,60.71,Silty
8.05,46.09,148.38,Loamy
7.15,25.2,176.07,Loamy
7.6,33.85,285.92,Sandy
4.91,31.96,352.8,Sandy
8.19,35.08,391.99,Silty
4.83,30.57,359.12,Peaty
7.33,9.37,332.42,Peaty
5.83,24.97,375.4,Peaty
7.44,36.95,262.23,Loamy
8.37,48.45,118.33,Peaty
5.85,22.49,118.07,Clay
7.32,37.05,366.12,Clay
8.76,15.82,84.54,Clay
7.11,25.1,100.04,Sandy
7.55,48.19,121.59,Loamy
4.98,47.27,165.23,Sandy
8.33,39.42,230.35,Silty
7.77,16.49,190.06,Loamy
7.77,19.16,50.26,Peaty
8.69,10.36,130.99,Clay
5.95,45.77,380.85,Clay
6.04,40.88,425.1,Peaty
6.69,14.32,244.07,Sandy
4.82,30.44,320.45,Loamy
5.6,18.73,348.95,Peaty
8.17,40.62,365.41,Silty
5.71,25.7,65.62,Peaty
8.25,15.56,403.02,Sandy
4.77,27.8,400.3,Clay
8.8,46.82,268.17,Silty
8.81,45.95,397.83,Silty
7.69,9.94,63.54,Silty
7.05,17.77,89.71,Peaty
6.19,19.9,260.28,Clay
6.56,45.48,429.96,Peaty
8.92,44.19,318.71,Peaty
4.94,25.19,449.01,Peaty
8.07,48.57,341.39,Peaty
7.63,44.43,300.28,Loamy
7.42,48.46,412.54,Loamy
8.92,24.6,227.89,Loamy
6.29,41.65,416.63,Sandy
5.3,9.59,137.11,Peaty
6.21,49.51,210.96,Sandy
6.87,45.57,314.01,Clay
6.86,40.7,245.94,Peaty
8.77,48.61,151.76,Peaty
6.34,16.39,356.24,Silty
6.37,30.36,269.7,Sandy
8.85,15.84,234.53,Silty
8.23,23.49,426.64,Sandy
4.83,14.55,345.7,Peaty
8.0,5.43,426.17,Loamy
6.36,36.19,186.69,Clay
4.56,38.47,138.38,Sandy
4.95,30.94,361.68,Loamy
7.72,25.4,198.02,Peaty
7.62,19.16,134.27,Peaty
7.93,49.62,129.82,Silty
4.62,26.85,233.36,Loamy
6.73,47.51,77.12,Silty
7.07,18.93,283.86,Silty
4.53,11.42,107.47,Clay
6.62,7.81,363.6,Loamy
7.37,14.69,336.29,Loamy
6.58,16.03,309.4,Sandy
7.63,22.35,402.59,Silty
7.96,31.44,131.17,Clay
5.11,41.72,134.39,Loamy
6.29,30.14,379.67,Clay
8.29,45.1,248.68,Loamy
8.7,18.33,309.87,Silty
6.04,14.34,232.82,Clay
7.57,18.42,288.44,Clay
8.38,13.61,262.28,Sandy
6.84,21.82,103.7,Silty
4.53,32.21,202.66,Sandy
6.92,11.49,184.98,Loamy
5.12,35.02,345.78,Sandy
5.85,9.59,97.68,Sandy
7.62,12.1,255.56,Loamy
7.03,35.63,256.14,Peaty
8.32,10.45,410.01,Sandy
5.99,25.69,344.49,Sandy
7.55,10.31,113.97,Peaty
5.36,46.86,322.04,Loamy
8.52,12.44,189.59,Clay
6.37,49.8,311.84,Silty
5.74,9.76,429.64,Loamy
4.94,40.83,419.49,Clay
5.21,14.06,83.34,Clay
7.13,38.46,438.87,Clay
6.6,14.41,239.72,Peaty
7.97,22.53,106.65,Silty
5.39,23.91,440.31,Loamy
8.38,13.19,362.27,Clay
7.81,28.54,404.62,Silty
6.66,5.2,236.43,Sandy
6.79,12.6,211.36,Silty
5.78,10.7,372.93,Clay
6.15,41.0,193.4,Peaty
7.42,39.75,437.29,Sandy
8.51,34.47,246.89,Sandy
7.49,15.18,80.08,Clay
5.35,19.07,245.62,Clay
7.32,48.39,417.97,Silty
6.74,29.93,444.27,Sandy
7.22,15.61,220.52,Silty
6.59,24.36,323.79,Sandy
5.72,20.34,345.04,Loamy
6.37,43.32,306.74,Loamy
7.69,16.88,208.8,Silty
5.43,13.88,141.92,Clay
8.16,38.21,253.42,Peaty
7.73,36.61,69.91,Silty
6.87,37.54,328.05,Silty
8.36,28.6,96.49,Sandy
5.61,28.68,424.69,Sandy
8.6,29.83,105.69,Silty
5.69,27.29,313.3,Clay
7.98,38.68,233.99,Loamy
5.18,26.21,100.13,Silty
7.29,31.64,57.92,Sandy
4.54,26.03,358.63,Sandy
6.51,14.52,106.19,Peaty
5.08,8.35,241.37,Sandy
4.68,39.79,117.77,Silty
8.44,30.64,348.51,Silty
5.97,31.02,326.38,Loamy
4.66,35.7,173.63,Clay
8.96,11.57,377.13,Loamy
8.8,41.13,193.91,Silty
8.41,16.72,149.93,Clay
4.94,30.45,129.26,Peaty
8.59,36.85,71.31,Loamy
5.21,38.79,397.82,Sandy
8.32,31.94,302.19,Sandy
4.9,19.75,258.27,Peaty
6.63,16.48,54.14,Loamy
5.66,10.01,270.55,Silty
5.95,22.61,314.33,Peaty
6.69,42.68,153.83,Sandy
8.73,42.79,166.54,Silty
4.66,14.96,421.34,Loamy
4.73,13.63,286.72,Silty
8.15,11.25,344.6,Peaty
6.76,11.74,66.19,Peaty
4.99,43.28,407.53,Loamy
6.41,45.18,327.32,Sandy
4.84,30.15,372.28,Sandy
7.67,24.98,234.8,Loamy
6.76,19.73,221.19,Clay
7.2,29.47,228.18,Peaty
7.5,6.39,442.05,Silty
7.53,47.93,366.02,Peaty
5.94,19.67,359.6,Loamy
4.66,49.5,199.62,Loamy
5.7,31.55,446.78,Sandy
5.79,40.31,154.78,Sandy
7.93,24.55,317.7,Peaty
8.4,42.54,96.07,Sandy
6.37,43.19,232.86,Loamy
8.01,10.74,396.91,Loamy
4.52,41.53,104.03,Peaty
5.86,34.77,368.55,Peaty
5.62,29.53,218.99,Sandy
7.47,46.05,191.82,Sandy
7.55,27.18,55.57,Loamy
6.6,45.65,422.19,Loamy
8.66,36.75,62.92,Peaty
6.37,42.08,302.41,Clay
4.92,39.91,283.49,Clay
6.78,19.44,66.98,Clay
8.92,19.91,155.1,Loamy
6.77,7.21,143.0,Clay
5.17,39.59,221.83,Clay
5.57,29.15,323.82,Silty
5.79,10.81,441.65,Loamy
6.22,19.4,127.96,Silty
4.82,14.53,178.92,Sandy
5.89,30.03,325.96,Peaty
7.75,16.16,356.65,Loamy
6.14,14.84,179.7,Peaty
4.54,31.87,107.69,Loamy
5.75,30.66,110.8,Sandy
4.7,34.32,362.58,Clay
5.82,28.36,320.02,Clay
5.69,39.04,98.5,Loamy
7.24,41.9,274.5,Clay
7.88,41.12,234.76,Loamy
8.82,29.05,117.27,Peaty
4.5,38.76,184.47,Sandy
7.43,31.24,350.73,Loamy
8.51,18.58,316.19,Peaty
8.8,36.83,83.32,Clay
7.61,14.65,209.55,Silty
4.8,12.52,148.86,Sandy
7.59,42.61,304.69,Peaty
6.66,45.44,136.65,Silty
4.55,41.7,398.88,Silty
6.73,16.86,138.53,Sandy
5.02,27.44,402.4,Silty
5.53,19.32,62.02,Sandy
7.76,47.68,264.49,Silty
7.92,25.17,322.94,Sandy
7.22,9.25,197.34,Sandy
7.57,29.68,205.64,Clay
7.91,12.43,380.25,Sandy
5.15,7.89,282.16,Loamy
5.54,43.28,294.66,Peaty
8.54,22.29,150.93,Peaty
8.89,18.34,291.63,Loamy
4.92,43.05,336.58,Sandy
8.68,25.28,133.96,Clay
7.5,47.38,342.94,Peaty
8.13,14.98,182.27,Clay
8.2,25.93,78.68,Silty
7.08,35.69,371.34,Silty
8.05,44.54,102.89,Sandy
8.17,10.29,432.36,Clay
7.08,32.46,163.4,Silty
7.99,35.5,103.47,Loamy
4.95,15.16,132.19,Peaty
8.6,34.49,170.93,Silty
6.32,13.47,306.99,Peaty
6.76,17.75,246.04,Silty
4.72,5.54,227.12,Peaty
7.47,36.22,161.39,Peaty
8.06,40.66,88.13,Clay
5.29,29.45,369.31,Peaty
6.57,36.51,297.39,Sandy
7.98,35.38,235.71,Silty
6.95,24.04,281.15,Peaty
4.55,15.85,177.24,Silty
5.82,23.85,330.29,Peaty
5.82,19.16,309.55,Loamy
8.51,33.84,432.37,Loamy
7.93,21.49,368.2,Clay
8.12,26.67,325.72,Clay
5.42,30.39,96.06,Sandy
5.21,43.86,404.04,Silty
6.65,26.55,60.49,Clay
5.76,30.96,265.7,Silty
7.97,38.22,70.07,Clay
6.75,48.93,415.01,Clay
6.58,18.22,267.62,Clay
6.16,16.47,64.93,Sandy
6.8,37.4,202.39,Peaty
5.63,14.33,427.71,Loamy
4.92,10.15,298.0,Silty
4.88,14.09,435.14,Sandy
6.4,22.65,387.52,Silty
5.66,13.15,352.78,Silty
5.56,16.34,106.85,Peaty
4.89,20.55,132.28,Clay
6.23,21.1,249.55,Silty
7.32,20.85,299.5,Sandy
6.41,47.33,317.49,Clay
8.0,49.18,90.19,Peaty
4.55,20.59,208.77,Loamy
5.59,37.54,448.03,Peaty
8.75,31.29,111.67,Silty
6.53,31.08,65.29,Peaty
4.94,37.31,61.57,Peaty
5.77,9.94,248.51,Peaty
6.79,13.66,133.0,Silty
5.88,27.99,396.61,Silty
5.78,47.15,241.12,Silty
5.93,6.32,276.32,Peaty
5.13,22.48,355.04,Loamy
8.23,32.38,149.19,Sandy
5.94,32.15,314.65,Clay
6.39,35.45,113.03,Peaty
6.85,20.01,155.6,Silty
4.8,34.31,331.11,Peaty
8.25,43.95,380.47,Sandy
5.41,43.29,167.03,Loamy
5.38,21.77,304.27,Sandy
5.8,23.45,218.45,Silty
4.66,28.54,94.08,Sandy
7.13,20.55,281.5,Loamy
7.49,34.4,70.93,Loamy
8.39,20.91,391.4,Sandy
5.99,40.87,275.54,Sandy
6.63,25.47,79.89,Loamy
6.34,24.64,305.78,Sandy
5.75,33.45,71.16,Silty
8.18,28.12,307.14,Sandy
7.61,48.81,347.75,Silty
5.91,43.82,310.16,Silty
6.28,7.75,73.69,Sandy
7.63,14.55,256.64,Loamy
5.18,11.95,378.56,Loamy
8.56,30.45,125.35,Loamy
4.91,27.01,221.04,Silty
5.07,15.73,158.13,Clay
8.2,24.18,113.55,Peaty
7.94,13.75,102.12,Sandy
4.56,23.09,141.55,Peaty
7.64,38.83,347.89,Peaty
8.96,15.92,349.11,Peaty
5.56,15.62,386.4,Clay
6.26,19.15,349.72,Peaty
6.8,47.48,56.79,Silty
7.51,23.07,101.74,Clay
4.55,40.29,215.59,Sandy
6.13,46.86,210.18,Peaty
5.64,16.33,264.65,Silty
6.54,9.69,82.78,Peaty
8.92,38.43,204.73,Peaty
6.53,29.58,241.95,Peaty
6.58,25.44,339.68,Peaty
7.02,45.62,393.67,Loamy
8.64,34.61,286.67,Silty
6.42,43.23,409.02,Peaty
8.97,9.65,414.28,Sandy
6.24,38.38,425.91,Loamy
6.58,31.45,108.63,Silty
6.53,29.68,173.45,Sandy
4.72,32.81,266.21,Silty
8.61,9.7,132.14,Silty
5.6,33.8,366.86,Clay
7.18,16.85,354.81,Sandy
7.31,38.45,124.35,Peaty
8.18,15.34,289.51,Clay
4.86,38.53,268.88,Loamy
6.27,47.13,297.56,Silty
8.89,46.86,113.66,Silty
4.72,40.4,357.67,Silty
8.77,14.0,321.1,Peaty
6.37,11.84,262.17,Loamy
5.18,40.48,308.72,Sandy
7.19,42.14,419.09,Silty
5.0,9.03,286.62,Silty
4.73,15.25,194.07,Loamy
8.96,15.19,66.97,Loamy
8.61,11.72,409.96,Sandy
8.72,12.28,293.08,Loamy
5.1,34.4,312.78,Clay
8.99,16.83,396.32,Silty
5.52,33.09,339.48,Peaty
7.13,20.93,413.31,Silty
8.24,38.06,447.07,Sandy
8.76,24.19,283.61,Peaty
7.46,12.29,82.42,Peaty
6.65,32.92,347.14,Peaty
4.98,17.64,240.56,Clay
8.28,32.71,200.81,Clay
5.85,33.83,83.25,Silty
8.65,33.7,157.95,Clay
8.81,12.5,92.85,Loamy
8.9,5.89,422.21,Peaty
5.7,38.26,291.98,Peaty
6.17,32.65,387.18,Loamy
8.01,19.1,135.69,Peaty
5.37,8.41,82.59,Sandy
5.38,22.57,81.39,Sandy
8.62,5.11,209.54,Peaty
6.11,16.34,65.65,Sandy
6.92,48.76,386.28,Sandy
6.21,20.49,397.58,Silty
6.64,27.06,199.3,Peaty
6.8,31.89,134.87,Peaty
5.42,30.15,120.48,Silty
5.11,21.84,445.43,Loamy
4.97,26.67,232.73,Loamy
4.63,16.67,249.19,Clay
5.12,19.23,225.99,Peaty
8.62,29.5,79.37,Sandy
5.55,40.83,374.67,Peaty
5.77,26.42,347.98,Peaty
8.59,23.51,427.78,Clay
5.9,23.38,329.99,Clay
8.05,38.07,82.39,Silty
5.16,32.09,445.52,Sandy
5.74,46.52,201.13,Clay
7.58,31.16,317.48,Clay
5.51,44.39,64.4,Peaty
6.46,21.76,116.06,Clay
5.73,47.06,67.3,Peaty
5.98,21.22,241.28,Sandy
8.59,40.18,321.43,Sandy
6.76,41.47,300.62,Peaty
5.8,27.01,200.85,Peaty
5.73,5.99,394.15,Silty
6.41,12.65,443.23,Clay
6.05,49.86,423.33,Silty
5.61,10.59,163.09,Clay
8.85,22.32,401.14,Loamy
5.48,45.05,429.08,Clay
7.89,39.65,291.93,Sandy
8.85,14.72,273.68,Silty
5.54,28.99,308.65,Clay
8.89,34.32,329.28,Loamy
6.46,24.22,386.55,Sandy
7.62,5.28,137.23,Silty
6.9,40.66,256.7,Clay
4.73,29.48,104.06,Sandy
7.96,39.69,148.39,Clay
8.43,5.99,53.66,Peaty
8.83,9.28,355.07,Peaty
5.48,35.9,342.57,Clay
7.02,46.27,249.6,Peaty
5.43,29.26,176.97,Loamy
7.24,39.46,412.8,Clay
4.76,44.86,148.38,Sandy
5.06,13.21,145.1,Peaty
8.2,35.26,325.22,Peaty
6.8,44.83,108.84,Silty
7.01,35.85,138.61,Loamy
8.37,26.86,284.05,Peaty
7.16,5.52,156.88,Sandy
8.19,47.91,87.94,Loamy
7.2,24.13,131.26,Silty
6.14,35.44,391.3,Clay
5.98,31.7,412.46,Silty
6.97,33.84,390.44,Peaty
4.6,15.71,75.0,Silty
4.99,47.06,307.7,Clay
4.97,20.42,127.61,Clay
6.6,36.1,228.82,Loamy
6.49,22.59,242.62,Loamy
8.12,41.18,64.27,Clay
5.85,38.41,256.67,Sandy
7.42,34.78,109.02,Loamy
6.93,7.65,68.82,Loamy
6.36,21.07,300.47,Loamy
6.45,39.46,110.88,Silty
5.41,7.02,418.96,Peaty
5.91,49.55,191.68,Silty
6.83,6.07,390.88,Clay
5.18,11.53,94.13,Sandy
4.8,10.83,442.19,Silty
5.52,9.2,249.85,Clay
7.62,40.62,155.93,Peaty
7.92,26.49,50.13,Loamy
7.73,45.85,382.29,Peaty
4.77,45.19,84.26,Peaty
6.27,17.19,133.84,Clay
5.32,38.8,197.34,Loamy
7.16,45.26,198.5,Peaty
7.22,28.28,302.91,Loamy
4.86,46.38,343.49,Silty
7.17,16.04,261.02,Sandy
6.65,45.62,372.36,Sandy
8.04,41.54,300.21,Loamy
6.62,29.86,235.01,Peaty
7.64,17.76,182.81,Sandy
8.3,20.06,171.85,Silty
5.82,34.26,224.75,Peaty
8.91,28.11,254.7,Clay
5.97,8.49,446.15,Silty
8.31,8.95,239.9,Silty
7.01,11.88,297.61,Clay
7.78,21.76,56.51,Silty
8.6,37.77,365.15,Loamy
8.26,17.91,344.6,Silty
8.0,49.53,77.37,Sandy
8.25,9.51,403.46,Loamy
5.99,25.77,271.4,Sandy
7.17,41.68,80.68,Silty
